iter	Logloss
217	0.3826770881
218	0.3825887354
219	0.382513352
220	0.3824362372
221	0.3823522096
222	0.3822372655
223	0.3821341334
224	0.3820360049
225	0.3819305541
226	0.3818389131
227	0.3817471912
228	0.3816782653
229	0.3816098392
230	0.3815298955
231	0.381446578
232	0.381350128
233	0.381314913
234	0.3812564438
235	0.3811294348
236	0.3810611354
237	0.3809941292
238	0.3809419969
239	0.3808718851
240	0.3808094381
241	0.3807507126
242	0.3806930709
243	0.380587945
244	0.3805203107
245	0.3804231123
246	0.3803654367
247	0.3802760171
248	0.3801869435
249	0.3801113183
250	0.3800102985
251	0.3799469518
252	0.379874941
253	0.3798181448
254	0.3797367628
255	0.3796842048
256	0.3796194957
257	0.3795167934
258	0.3794583421
259	0.3793891057
260	0.3793270134
261	0.379283118
262	0.3792150197
263	0.379160645
264	0.3790870824
265	0.3790273948
266	0.3789342921
267	0.3788541669
268	0.378769266
269	0.3787078447
270	0.3786166327
271	0.378528872
272	0.3784477033
273	0.3783320074
274	0.3782717783
275	0.3781717961
276	0.3780852631
277	0.3780212006
278	0.3779334472
279	0.3778694505
280	0.3778037739
281	0.3777255915
282	0.3776550204
283	0.3775992399
284	0.3774583249
285	0.377360111
286	0.3772799419
287	0.3771831248
288	0.3770902831
289	0.3770140955
290	0.3769307918
291	0.3768354518
292	0.3767212388
293	0.3766684879
294	0.3765839367
295	0.3765216894
296	0.376430411
297	0.376363755
298	0.376318381
299	0.3762262016
300	0.3761384785
301	0.3760405234
302	0.3759472147
303	0.3758541791
304	0.3757710281
305	0.3756972518
306	0.3756313278
307	0.3755537338
308	0.3754984471
309	0.3754083433
310	0.3753623509
311	0.3752870403
312	0.3752261735
313	0.3751442459
314	0.3750201637
315	0.3749345941
316	0.3748773533
317	0.3747802224
318	0.3747326717
319	0.3746700758
320	0.374593451
321	0.3745156157
322	0.3744446303
323	0.3744034531
324	0.3743347065
325	0.3742609147
326	0.3741734381
327	0.3740777244
328	0.3740005059
329	0.3739229529
330	0.3738656899
331	0.3737949156
332	0.3737345921
333	0.3736832353
334	0.3736064146
335	0.3735726814
336	0.3735098518
337	0.3734299277
338	0.3733388875
339	0.3732610869
340	0.3731644694
341	0.3731092129
342	0.3730144773
343	0.3729623011
344	0.3728924783
345	0.3728049522
346	0.3727089297
347	0.3726591734
348	0.3725609123
349	0.3724653104
350	0.3723779045
351	0.3722987226
352	0.3722344274
353	0.3721538102
354	0.3720939687
355	0.3719855486
356	0.3718977544
357	0.3718295791
358	0.3717628525
359	0.3717239545
360	0.3716220251
361	0.3715513274
362	0.3714546312
363	0.3713952629
364	0.3713130771
365	0.3712262536
366	0.3711443458
367	0.3710466339
